cam_sat,cam_tca,cam_dv_ms,num_degraded_crossings,num_unique_neighbors,worst_dist_km,worst_degradation_km,mean_degradation_km
313,1183365.61,0.1440,1,1,21.592395,1.961028,1.961028
315,929739.64,0.0160,1,1,5.455342,0.003028,0.003028
318,640614.87,0.1079,1,1,18.714735,0.070585,0.070585
319,1916994.88,0.2233,1,1,4.407980,1.050230,1.050230
321,1986258.92,0.0267,1,1,5.427739,0.030682,0.030682
324,1202805.39,0.2852,2,1,4.403496,1.055274,0.586335
326,1557465.66,0.2629,1,1,3.093110,2.364990,2.364990
326,1559669.60,0.0519,1,1,3.093110,2.364990,2.364990
328,1091079.67,0.0160,1,1,23.360631,0.187883,0.187883
328,2349375.07,0.0495,1,1,5.029492,0.429324,0.429324
329,2030900.43,0.1490,1,1,3.812376,1.646289,1.646289
330,1278955.83,0.0925,1,1,5.417694,0.040466,0.040466
332,134228.78,0.1770,1,1,4.726428,0.731945,0.731945
332,1250474.67,0.2796,3,3,5.407410,969.616105,324.399631
334,654740.50,0.2714,1,1,1.821144,3.637544,3.637544
334,2421900.97,0.1279,1,1,5.445981,0.012707,0.012707
336,1902564.95,0.2142,2,1,4.305500,1.153215,0.774989
339,610198.96,0.1145,1,1,4.659233,0.799486,0.799486
345,1476874.85,0.0529,1,1,18.500067,0.249965,0.249965
347,2526503.86,0.2993,1,1,2.563922,2.894492,2.894492
350,1298679.83,0.0360,1,1,4.971981,0.486561,0.486561
350,1526535.82,0.1065,1,1,5.212694,0.245848,0.245848
351,1752644.62,0.0665,1,1,4.757984,0.701434,0.701434
352,435319.72,0.2968,1,1,1.814957,3.644913,3.644913
352,1326614.50,0.2013,2,1,4.203303,1.256567,1.130987
359,2398024.73,0.2984,1,1,3.485604,1.972475,1.972475
361,98518.90,0.2642,1,1,3.379620,2.079857,2.079857
362,1733889.03,0.1030,1,1,23.227973,0.323056,0.323056
364,2149194.90,0.2629,3,2,17.421901,970.539032,647.008423
365,2091910.54,0.0757,1,1,4.927558,0.532460,0.532460
370,439264.68,0.0897,1,1,5.438511,0.019721,0.019721
374,46769.44,0.0719,1,1,22.568155,0.980538,0.980538
374,823940.05,0.1306,1,1,4.886487,0.572363,0.572363
377,2301964.62,0.1275,1,1,22.392827,1.153789,1.153789
383,1500935.13,0.0431,1,1,23.342742,0.203429,0.203429
392,1672445.84,0.1230,2,2,0.112153,1.064198,0.751857
392,2435904.55,0.2979,2,2,21.172358,969.261103,485.820123
394,235270.63,0.0763,1,1,4.678878,0.780143,0.780143
394,792215.49,0.0755,1,1,4.822971,0.636050,0.636050
396,2261815.54,0.1878,1,1,22.061414,1.487681,1.487681
402,2124670.79,0.0754,2,2,0.609434,0.314144,0.244201
413,1869733.97,0.1531,2,2,23.328637,969.170912,484.696422
419,2532685.53,0.1978,1,1,2.896312,2.563097,2.563097
420,1960179.62,0.1227,1,1,18.717410,0.029031,0.029031
422,315270.29,0.2513,2,2,16.301077,970.643992,486.551398
422,2311939.72,0.1293,2,2,1.020686,0.772739,0.404660
426,648059.98,0.2827,2,2,22.470701,970.757449,485.918077
428,379060.88,0.1234,1,1,4.059366,1.399892,1.399892
430,845835.00,0.0656,1,1,4.474361,0.984955,0.984955
431,1703964.94,0.2053,2,2,22.477716,970.663692,485.867565
433,1049123.54,0.2433,1,1,4.716031,0.743298,0.743298
433,1114234.60,0.1619,2,2,4.836842,1.072709,0.847598
436,1587400.33,0.0486,1,1,5.368302,0.090094,0.090094
438,2443004.87,0.0893,1,1,4.923294,0.534865,0.534865
446,1592930.28,0.0596,1,1,4.973453,0.485465,0.485465
449,2136644.82,0.1544,2,2,4.609127,0.849443,0.623071
450,1050784.93,0.2778,2,2,20.734137,970.141880,486.481148
451,1839889.74,0.0901,1,1,23.426986,0.130404,0.130404
451,2436549.65,0.2241,1,1,4.474489,0.983615,0.983615
452,500029.89,0.3744,1,1,5.375967,0.082559,0.082559
453,127516.91,0.2611,1,1,1.854002,3.605653,3.605653
453,1688565.06,0.0378,1,1,5.166732,0.292923,0.292923
454,199290.34,0.0775,1,1,4.806944,0.652014,0.652014
455,1759960.72,0.1813,1,1,4.872524,0.586077,0.586077
456,1572437.94,0.1785,2,2,17.571738,969.147282,485.166611
459,1592750.37,0.1840,1,1,2.840105,2.618244,2.618244
465,337479.92,0.0908,1,1,4.543093,0.915536,0.915536
469,1990585.45,0.0186,1,1,5.178421,0.280246,0.280246
471,1524550.52,0.0649,1,1,4.814623,0.645424,0.645424
475,866330.60,0.1536,1,1,22.945891,0.621406,0.621406
476,585200.17,0.1035,1,1,4.921993,0.536757,0.536757
477,1720460.24,0.0617,1,1,23.334577,0.211668,0.211668
477,2420190.77,0.1224,1,1,3.671963,1.786383,1.786383
