time_s,cam_sat,cam_tca,neighbor_sat,perturbed_dist_km,baseline_dist_km,degradation_km
293010,803,298664.85,498,10.149276,11.523445,1.374169
975030,823,976540.18,518,10.157294,11.524724,1.367430
2105910,351,2106545.21,24,10.164934,11.529656,1.364722
2043780,58,2051305.78,860,10.165145,10.356214,0.191069
1294680,915,1298200.78,610,10.174190,11.522899,1.348709
1962120,925,1963143.26,620,10.183553,11.521283,1.337730
6300,75,12769.77,899,10.203954,10.368428,0.164474
896760,548,900779.34,1350,10.206305,10.363090,0.156785
430230,822,434929.41,63,10.235171,10.399144,0.163973
1967760,1453,1973930.41,1148,10.239725,11.530376,1.290651
1298880,939,1303215.69,158,10.244216,10.352328,0.108112
633420,1537,636584.87,756,10.257523,10.363253,0.105730
2254260,745,2258569.62,1547,10.261963,10.360303,0.098340
497040,1379,500359.59,598,10.262181,10.390086,0.127905
984240,454,993899.65,1256,10.271834,10.353170,0.081336
915000,434,923505.26,1236,10.274106,10.372776,0.098670
1563900,801,1566570.71,42,10.277887,10.367694,0.089807
1483380,1308,1483940.15,549,10.283937,10.364811,0.080874
343650,187,353795.10,1011,10.284515,10.363988,0.079473
655620,840,655925.27,535,10.288758,11.530180,1.241422
1795170,111,1802169.39,935,10.291481,10.354007,0.062526
431040,643,435945.08,1467,10.295343,10.359503,0.064160
503400,695,510953.93,1497,10.296290,10.363571,0.067281
2290860,1374,2297912.51,615,10.297755,10.354977,0.057222
1005690,1405,1009189.20,624,10.304432,10.428598,0.124166
1117980,820,1127204.41,61,10.307402,10.352194,0.044792
2099100,835,2106609.43,54,10.307606,10.365323,0.057717
1129470,600,1132745.29,1424,10.309740,10.400957,0.091217
828030,592,838959.48,1394,10.309817,10.361207,0.051390
748650,263,749338.62,1519,10.320855,11.526360,1.205505
1260540,1156,1264814.81,851,10.323220,11.527478,1.204258
1414560,319,1425354.31,1143,10.341150,10.356677,0.015527
1472310,559,1482230.54,1383,10.341329,10.357733,0.016404
1848840,1206,1854893.07,901,10.342561,11.520617,1.178056
736950,154,737764.18,1432,10.354815,11.520670,1.165855
1414200,698,1420806.94,393,10.364056,11.525473,1.161417
1840080,646,1843479.84,341,10.367306,11.521904,1.154598
2361840,72,2366209.58,1350,10.374123,11.524933,1.150810
1000260,1184,1007404.86,403,10.380521,10.396028,0.015507
322020,98,325800.21,1376,10.380634,11.538075,1.157441
673530,1405,681370.79,624,10.382176,10.428598,0.046422
1557660,759,1567850.55,1583,10.395723,10.423525,0.027802
684750,992,691465.64,687,10.415757,11.526335,1.110578
1396380,1426,1402387.80,1121,10.421624,11.546682,1.125058
2580990,264,2584600.25,1542,10.458151,11.523445,1.065294
1532220,91,1532749.80,1369,10.484829,11.520768,1.035939
583770,874,584815.57,569,10.537101,11.532597,0.995496
2264520,1435,2264963.13,1130,10.556430,11.525023,0.968593
369000,929,376980.76,624,10.578573,11.526480,0.947907
2292810,359,2298400.56,54,10.625013,11.545693,0.920680
1046790,1361,1052215.73,1034,10.652197,11.524676,0.872479
93840,974,95019.95,669,10.657529,11.521063,0.863534
357720,1456,360908.47,1151,10.673134,11.526028,0.852894
2358030,1098,2358473.29,771,10.681396,11.528395,0.846999
1364520,449,1368960.15,144,10.697498,11.526758,0.829260
2523750,88,2525515.56,1366,10.700206,11.529751,0.829545
1715610,882,1717209.62,577,10.721017,11.527835,0.806818
1619370,438,1621705.06,111,10.741342,11.544863,0.803521
1301550,295,1305658.83,1573,10.743631,11.520880,0.777249
306420,1565,306610.43,1260,10.793751,11.527971,0.734220
2328000,70,2329875.35,1348,10.812524,11.524967,0.712443
1008780,1375,1014210.50,1070,10.825405,11.522172,0.696767
688290,55,694540.40,1333,10.837290,11.533452,0.696162
1788090,208,1794664.33,1486,10.866430,11.527466,0.661036
1202190,1402,1209404.53,1097,10.866780,11.521067,0.654287
2274570,473,2280499.43,168,10.875264,11.521812,0.646548
728010,716,731280.02,411,10.879986,11.528068,0.648082
695730,708,696650.29,403,10.883209,11.541832,0.658623
1718430,1157,1724400.08,852,10.888332,11.520859,0.632527
1910100,663,1915909.36,358,10.890708,11.529092,0.638384
1746750,1488,1747889.78,1183,10.894100,11.521707,0.627607
638100,1325,647014.93,1020,10.905149,11.523697,0.618548
1335000,1090,1337780.17,785,10.908738,11.523962,0.615224
1283610,166,1287953.28,1444,10.931045,11.525549,0.594504
