obj_i,obj_j,miss_km,Pc,dv_ms,type,tca,cam_sat_idx
28,4981,2.587994,5.148766e-26,0.0000,sat-debris,30575.383660,28
33,4087,2.347353,4.155270e-26,0.0000,sat-debris,181309.554886,33
76,3995,2.077024,4.094053e-26,0.0000,sat-debris,219530.196896,76
47,3882,2.095163,3.600031e-26,0.0000,sat-debris,122834.453524,47
93,13746,2.381200,3.427021e-26,0.0000,sat-debris,67964.451649,93
8,3424,2.083265,3.250927e-26,0.0000,sat-debris,213574.254150,8
45,4959,2.227302,1.878752e-26,0.0000,sat-debris,317924.613590,45
98,3425,2.190370,1.782293e-26,0.0000,sat-debris,64560.936168,98
61,3835,3.271859,1.541160e-26,0.0000,sat-debris,97114.255895,61
54,12445,2.779155,1.534062e-26,0.0000,sat-debris,19574.608611,54
80,4667,2.377697,1.511536e-26,0.0000,sat-debris,155353.767476,80
93,4769,2.088142,1.493120e-26,0.0000,sat-debris,359798.962417,93
62,13752,6.141301,1.356478e-26,0.0000,sat-debris,273935.862792,62
4,3677,7.414416,1.303939e-26,0.0000,sat-debris,354024.111061,4
2,2620,5.436942,1.181166e-26,0.0000,sat-debris,323685.244114,2
29,10156,5.242041,1.175760e-26,0.0000,sat-debris,142144.814634,29
84,4491,2.106996,8.216983e-27,0.0000,sat-debris,220865.284245,84
92,4669,5.054930,7.780239e-27,0.0000,sat-debris,90869.263157,92
1,3480,2.748465,7.509757e-27,0.0000,sat-debris,79259.586539,1
26,4449,2.911204,7.074934e-27,0.0000,sat-debris,305064.381520,26
64,4193,2.168681,5.630087e-27,0.0000,sat-debris,341014.301551,64
53,3904,2.426268,5.115247e-27,0.0000,sat-debris,251071.101843,53
27,4890,2.462861,4.342665e-27,0.0000,sat-debris,356365.722920,27
9,3879,2.228626,3.955166e-27,0.0000,sat-debris,80723.422234,9
94,4504,2.207041,3.860552e-27,0.0000,sat-debris,374969.765936,94
15,4791,2.326643,3.200102e-27,0.0000,sat-debris,43359.437340,15
76,3860,2.154043,3.010436e-27,0.0000,sat-debris,87810.620476,76
36,4591,2.685991,2.434981e-27,0.0000,sat-debris,146585.392901,36
22,4723,3.452744,2.199832e-27,0.0000,sat-debris,273580.392893,22
52,5018,2.250272,2.192077e-27,0.0000,sat-debris,101630.012252,52
28,3522,4.344987,1.928599e-27,0.0000,sat-debris,207349.437245,28
89,4748,3.546837,1.669898e-27,0.0000,sat-debris,118810.451345,89
42,1138,5.927692,1.508133e-27,0.0000,sat-debris,308849.263946,42
14,3685,6.944634,1.362031e-27,0.0000,sat-debris,353714.784676,14
21,4010,2.728152,1.355026e-27,0.0000,sat-debris,195438.062939,21
48,5132,3.338384,1.292375e-27,0.0000,sat-debris,328249.635647,48
35,4798,2.598523,1.290646e-27,0.0000,sat-debris,363754.216641,35
22,1762,7.283331,1.148391e-27,0.0000,sat-debris,306429.714664,22
9,3491,2.634286,1.132191e-27,0.0000,sat-debris,298024.792503,9
18,3607,3.304835,9.282401e-28,0.0000,sat-debris,351275.963322,18
67,4220,2.710834,9.198692e-28,0.0000,sat-debris,6999.629690,67
28,4092,4.006766,8.246799e-28,0.0000,sat-debris,35789.811990,28
91,4130,3.096455,7.510160e-28,0.0000,sat-debris,399984.800802,91
49,4947,2.161286,5.399664e-28,0.0000,sat-debris,407269.978338,49
93,3787,2.322744,5.283216e-28,0.0000,sat-debris,396804.150399,93
20,1226,2.284177,5.113330e-28,0.0000,sat-debris,322380.647061,20
