sat_i,sat_j,min_dist_km
858,989,0.796617
815,924,0.796618
1093,1202,0.796619
43,152,0.796620
246,355,0.796621
1230,1339,0.796622
41,150,0.796623
547,656,0.796624
999,1108,0.796626
1318,1427,0.796633
950,1059,0.796638
312,421,0.796644
992,1101,0.796653
167,276,0.796661
146,255,0.796663
105,1579,0.796672
1215,1324,0.796672
20,1494,0.796675
965,1074,0.796693
1320,1451,0.796694
1178,1287,0.796694
1005,1114,0.796696
1064,1173,0.796697
562,671,0.796697
940,1049,0.796703
50,1524,0.796707
1055,1164,0.796712
1173,1282,0.796720
596,705,0.796728
744,853,0.796729
459,568,0.796744
1049,1158,0.796745
587,696,0.796752
81,1555,0.796758
3,112,0.796761
449,558,0.796764
98,1572,0.796765
765,874,0.796769
20,129,0.796769
44,175,0.796772
551,660,0.796781
15,1489,0.796781
1266,1375,0.796781
925,1034,0.796784
1207,1316,0.796789
1308,1417,0.796798
512,621,0.796812
327,436,0.796821
727,836,0.796824
1343,1452,0.796826
17,1491,0.796830
759,868,0.796831
1237,1346,0.796831
208,317,0.796845
631,740,0.796847
845,954,0.796848
462,593,0.796849
1413,1522,0.796851
1026,1135,0.796852
778,887,0.796853
1387,1496,0.796856
315,424,0.796857
65,174,0.796858
334,443,0.796862
168,277,0.796869
302,411,0.796871
1201,1310,0.796871
188,297,0.796876
1151,1260,0.796879
21,130,0.796884
639,748,0.796885
912,1021,0.796892
1435,1544,0.796901
764,873,0.796910
4,113,0.796915
1079,1188,0.796920
1241,1350,0.796931
262,371,0.796931
409,518,0.796934
93,202,0.796934
803,912,0.796937
698,807,0.796938
556,665,0.796940
55,1529,0.796944
320,429,0.796945
725,834,0.796948
972,1081,0.796950
1374,1483,0.796952
872,981,0.796957
1382,1491,0.796962
825,934,0.796964
947,1056,0.796966
1404,1513,0.796968
678,787,0.796976
841,950,0.796976
1167,1276,0.796977
700,809,0.796980
6,1480,0.796981
1,1475,0.796982
1335,1444,0.796984
1388,1497,0.796984
304,413,0.796984
509,618,0.796984
973,1082,0.796988
53,162,0.796989
8,1482,0.796990
1213,1322,0.796990
46,155,0.796993
1061,1170,0.796993
94,1568,0.796996
1421,1530,0.796999
1043,1152,0.797009
1434,1543,0.797013
203,312,0.797015
1152,1261,0.797018
117,226,0.797020
891,1000,0.797021
1066,1175,0.797030
1274,1383,0.797044
83,1557,0.797056
529,638,0.797057
23,132,0.797064
630,739,0.797065
1123,1232,0.797066
371,480,0.797069
396,527,0.797073
346,455,0.797073
1204,1313,0.797077
656,765,0.797078
879,988,0.797084
919,1028,0.797085
495,604,0.797086
131,240,0.797088
161,270,0.797090
1059,1168,0.797103
493,602,0.797103
757,866,0.797105
332,441,0.797117
1427,1536,0.797117
53,1527,0.797119
917,1026,0.797120
485,594,0.797127
1366,1475,0.797127
1107,1216,0.797130
1278,1387,0.797134
1105,1214,0.797138
1415,1524,0.797138
264,395,0.797141
121,230,0.797147
750,859,0.797157
58,167,0.797158
1444,1553,0.797158
107,216,0.797159
903,1012,0.797161
1256,1365,0.797170
738,847,0.797172
946,1077,0.797178
177,286,0.797191
988,1097,0.797196
382,491,0.797203
351,460,0.797209
487,596,0.797213
560,669,0.797217
966,1075,0.797222
800,909,0.797223
1128,1237,0.797223
1028,1137,0.797224
176,307,0.797224
646,755,0.797225
511,620,0.797229
710,819,0.797229
1334,1443,0.797230
1391,1500,0.797232
105,214,0.797233
39,1513,0.797233
108,217,0.797235
443,552,0.797237
1332,1441,0.797239
1067,1176,0.797239
795,904,0.797240
67,1541,0.797240
339,448,0.797245
252,361,0.797245
807,916,0.797245
603,712,0.797248
353,462,0.797250
222,331,0.797256
18,1492,0.797259
1179,1288,0.797261
268,377,0.797261
78,187,0.797262
1254,1385,0.797268
640,749,0.797273
56,165,0.797274
958,1067,0.797283
789,898,0.797284
707,816,0.797288
185,294,0.797304
294,403,0.797304
88,1562,0.797308
533,642,0.797312
960,1069,0.797314
200,309,0.797323
1268,1377,0.797325
654,763,0.797337
364,473,0.797340
1270,1379,0.797352
235,344,0.797371
1072,1181,0.797371
702,811,0.797372
1287,1396,0.797386
1259,1368,0.797390
1285,1394,0.797395
165,274,0.797395
437,546,0.797400
1228,1337,0.797408
480,589,0.797409
582,691,0.797411
756,865,0.797412
1203,1312,0.797415
1000,1109,0.797417
18,127,0.797418
102,1576,0.797423
89,1563,0.797425
1394,1503,0.797429
1034,1165,0.797433
340,449,0.797436
40,1514,0.797439
143,252,0.797439
30,139,0.797466
1086,1195,0.797477
1223,1332,0.797480
536,645,0.797481
811,920,0.797484
964,1073,0.797486
169,278,0.797494
1115,1224,0.797496
819,928,0.797506
1304,1413,0.797513
730,839,0.797517
